time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,windgusts_10m_max,sunrise,sunset
2000-01-01,19.1,9.6,0.0,22.3,43.6,2000-01-01T06:01,2000-01-01T20:45
2000-01-02,21.7,9.6,0.0,12.6,27.0,2000-01-02T06:02,2000-01-02T20:45
2000-01-03,27.9,12.2,3.2,27.1,69.5,2000-01-03T06:02,2000-01-03T20:45
2000-01-04,17.4,12.3,15.7,34.4,79.6,2000-01-04T06:03,2000-01-04T20:45
2000-01-05,16.9,12.4,1.8,28.7,58.7,2000-01-05T06:04,2000-01-05T20:45
2000-01-06,18.0,12.7,0.8,23.2,47.5,2000-01-06T06:05,2000-01-06T20:45
2000-01-07,21.1,11.6,0.0,23.1,48.6,2000-01-07T06:06,2000-01-07T20:45
2000-01-08,25.6,9.7,0.0,16.0,28.4,2000-01-08T06:07,2000-01-08T20:45
2000-01-09,28.9,14.8,0.0,19.7,43.2,2000-01-09T06:08,2000-01-09T20:45
2000-01-10,29.8,16.0,1.7,19.2,39.2,2000-01-10T06:09,2000-01-10T20:45
2000-01-11,29.6,15.0,0.0,19.5,39.2,2000-01-11T06:10,2000-01-11T20:45
2000-01-12,29.5,13.7,0.0,18.9,42.1,2000-01-12T06:11,2000-01-12T20:45
2000-01-13,29.9,15.0,0.0,15.8,35.3,2000-01-13T06:12,2000-01-13T20:44
2000-01-14,32.1,15.2,0.0,24.8,49.3,2000-01-14T06:13,2000-01-14T20:44
2000-01-15,28.3,18.2,0.0,10.4,25.9,2000-01-15T06:14,2000-01-15T20:44
2000-01-16,20.8,16.2,0.0,17.4,38.5,2000-01-16T06:15,2000-01-16T20:43
2000-01-17,25.7,11.7,0.0,13.9,32.8,2000-01-17T06:16,2000-01-17T20:43
2000-01-18,33.6,13.2,0.0,24.9,53.3,2000-01-18T06:17,2000-01-18T20:43
2000-01-19,25.4,17.7,0.0,20.1,37.4,2000-01-19T06:18,2000-01-19T20:42
2000-01-20,25.5,15.8,0.0,27.2,55.4,2000-01-20T06:19,2000-01-20T20:42
2000-01-21,18.1,14.3,1.0,25.0,50.4,2000-01-21T06:20,2000-01-21T20:41
2000-01-22,18.7,12.2,3.3,29.2,67.0,2000-01-22T06:21,2000-01-22T20:41
2000-01-23,16.3,10.9,1.2,26.9,55.8,2000-01-23T06:22,2000-01-23T20:40
2000-01-24,20.6,8.4,0.0,10.9,26.6,2000-01-24T06:23,2000-01-24T20:40
2000-01-25,21.6,14.0,0.9,16.6,37.8,2000-01-25T06:25,2000-01-25T20:39
2000-01-26,22.4,15.0,13.4,19.6,37.1,2000-01-26T06:26,2000-01-26T20:38
2000-01-27,19.1,15.0,4.5,28.0,55.8,2000-01-27T06:27,2000-01-27T20:38
2000-01-28,17.6,14.2,0.0,25.1,51.5,2000-01-28T06:28,2000-01-28T20:37
2000-01-29,18.2,13.9,0.0,23.5,48.2,2000-01-29T06:29,2000-01-29T20:36
2000-01-30,19.8,14.6,0.0,17.0,37.8,2000-01-30T06:30,2000-01-30T20:35
2000-01-31,21.9,11.8,0.0,17.7,37.8,2000-01-31T06:32,2000-01-31T20:34
2000-02-01,30.8,9.5,0.0,12.5,22.0,2000-02-01T06:33,2000-02-01T20:34
2000-02-02,34.6,21.5,0.0,29.3,55.1,2000-02-02T06:34,2000-02-02T20:33
2000-02-03,37.5,20.0,0.0,31.0,59.8,2000-02-03T06:35,2000-02-03T20:32
2000-02-04,38.6,17.4,0.0,26.1,58.0,2000-02-04T06:36,2000-02-04T20:31
2000-02-05,31.5,16.6,0.5,32.4,62.3,2000-02-05T06:37,2000-02-05T20:30
2000-02-06,23.1,15.2,0.0,24.6,50.0,2000-02-06T06:38,2000-02-06T20:29
2000-02-07,24.6,12.9,0.0,18.2,42.8,2000-02-07T06:40,2000-02-07T20:28
2000-02-08,34.2,16.0,0.0,19.5,42.5,2000-02-08T06:41,2000-02-08T20:27
2000-02-09,27.6,16.7,0.0,14.9,37.4,2000-02-09T06:42,2000-02-09T20:26
2000-02-10,36.0,19.0,0.0,31.9,64.1,2000-02-10T06:43,2000-02-10T20:25
2000-02-11,19.0,15.5,6.1,17.3,37.4,2000-02-11T06:44,2000-02-11T20:24
2000-02-12,20.7,12.5,0.0,25.2,55.1,2000-02-12T06:45,2000-02-12T20:23
2000-02-13,24.7,12.4,0.0,20.6,42.5,2000-02-13T06:46,2000-02-13T20:22
